hours,source,site,call_density,groupy
0,anuran,LVR,76,0
0,anuran,MGV,0,0
0,aquatic,LVR,2,0
0,aquatic,MGV,0,0
1,anuran,LVR,13,0
1,anuran,MGV,0,0
1,aquatic,LVR,2,0
1,aquatic,MGV,0,0
2,anuran,LVR,1,0
2,anuran,MGV,0,0
2,aquatic,LVR,0,0
2,aquatic,MGV,5,0
3,anuran,LVR,0,1
3,anuran,MGV,0,1
3,aquatic,LVR,1,1
3,aquatic,MGV,4,1
4,anuran,LVR,0,1
4,anuran,MGV,0,1
4,aquatic,LVR,1,1
4,aquatic,MGV,8,1
5,anuran,LVR,0,1
5,anuran,MGV,0,1
5,aquatic,LVR,2,1
5,aquatic,MGV,2,1
6,anuran,LVR,0,2
6,anuran,MGV,0,2
6,aquatic,LVR,1,2
6,aquatic,MGV,15,2
7,anuran,LVR,0,2
7,anuran,MGV,0,2
7,aquatic,LVR,2,2
7,aquatic,MGV,56,2
8,anuran,LVR,0,2
8,anuran,MGV,0,2
8,aquatic,LVR,1,2
8,aquatic,MGV,38,2
9,anuran,LVR,0,3
9,anuran,MGV,0,3
9,aquatic,LVR,0,3
9,aquatic,MGV,48,3
10,anuran,LVR,0,3
10,anuran,MGV,0,3
10,aquatic,LVR,3,3
10,aquatic,MGV,24,3
11,anuran,LVR,0,3
11,anuran,MGV,0,3
11,aquatic,LVR,0,3
11,aquatic,MGV,52,3
12,anuran,LVR,0,4
12,anuran,MGV,0,4
12,aquatic,LVR,4,4
12,aquatic,MGV,30,4
13,anuran,LVR,0,4
13,anuran,MGV,0,4
13,aquatic,LVR,4,4
13,aquatic,MGV,13,4
14,anuran,LVR,0,4
14,anuran,MGV,0,4
14,aquatic,LVR,7,4
14,aquatic,MGV,28,4
15,anuran,LVR,0,5
15,anuran,MGV,0,5
15,aquatic,LVR,0,5
15,aquatic,MGV,58,5
16,anuran,LVR,0,5
16,anuran,MGV,0,5
16,aquatic,LVR,3,5
16,aquatic,MGV,37,5
17,anuran,LVR,0,5
17,anuran,MGV,0,5
17,aquatic,LVR,3,5
17,aquatic,MGV,40,5
18,anuran,LVR,0,6
18,anuran,MGV,0,6
18,aquatic,LVR,8,6
18,aquatic,MGV,16,6
19,anuran,LVR,0,6
19,anuran,MGV,0,6
19,aquatic,LVR,8,6
19,aquatic,MGV,2,6
20,anuran,LVR,25,6
20,anuran,MGV,0,6
20,aquatic,LVR,1,6
20,aquatic,MGV,0,6
21,anuran,LVR,118,7
21,anuran,MGV,0,7
21,aquatic,LVR,5,7
21,aquatic,MGV,0,7
22,anuran,LVR,92,7
22,anuran,MGV,0,7
22,aquatic,LVR,1,7
22,aquatic,MGV,1,7
23,anuran,LVR,104,7
23,anuran,MGV,0,7
23,aquatic,LVR,2,7
23,aquatic,MGV,0,7
