freq_band,site,dates,call_density,hour,groupy
high,LVR,2025-05-27T03:00:00Z,141,0,0
high,LVR,2025-05-27T03:30:00Z,191,0,0
high,LVR,2025-05-27T04:00:00Z,159,1,0
high,LVR,2025-05-27T04:30:00Z,247,1,0
high,LVR,2025-05-27T05:00:00Z,133,2,0
high,LVR,2025-05-27T05:30:00Z,159,2,0
high,LVR,2025-05-27T06:00:00Z,103,3,1
high,LVR,2025-05-27T06:30:00Z,138,3,1
high,LVR,2025-05-27T07:00:00Z,153,4,1
high,LVR,2025-05-27T07:30:00Z,131,4,1
high,LVR,2025-05-27T08:00:00Z,97,5,1
high,LVR,2025-05-27T08:30:00Z,133,5,1
high,LVR,2025-05-27T09:00:00Z,88,6,2
high,LVR,2025-05-27T09:30:00Z,74,6,2
high,LVR,2025-05-27T10:00:00Z,53,7,2
high,LVR,2025-05-27T10:30:00Z,63,7,2
high,LVR,2025-05-27T11:00:00Z,15,8,2
high,LVR,2025-05-27T11:30:00Z,6,8,2
high,LVR,,0,9,3
high,LVR,,0,9,3
high,LVR,2025-05-27T13:00:00Z,3,10,3
high,LVR,2025-05-27T13:30:00Z,2,10,3
high,LVR,,0,11,3
high,LVR,,0,11,3
high,LVR,,0,12,4
high,LVR,,0,12,4
high,LVR,,0,13,4
high,LVR,2025-05-26T16:30:00Z,4,13,4
high,LVR,,0,14,4
high,LVR,,0,14,4
high,LVR,,0,15,5
high,LVR,2025-05-26T18:30:00Z,11,15,5
high,LVR,,0,16,5
high,LVR,2025-05-26T19:30:00Z,10,16,5
high,LVR,,0,17,5
high,LVR,,0,17,5
high,LVR,,0,18,6
high,LVR,2025-05-26T21:30:00Z,45,18,6
high,LVR,2025-05-26T22:00:00Z,88,19,6
high,LVR,2025-05-26T22:30:00Z,134,19,6
high,LVR,2025-05-26T23:00:00Z,72,20,6
high,LVR,2025-05-26T23:30:00Z,133,20,6
high,LVR,2025-05-27T00:00:00Z,116,21,7
high,LVR,2025-05-27T00:30:00Z,85,21,7
high,LVR,2025-05-27T01:00:00Z,95,22,7
high,LVR,2025-05-27T01:30:00Z,108,22,7
high,LVR,2025-05-27T02:00:00Z,120,23,7
high,LVR,2025-05-27T02:30:00Z,113,23,7
high,MGV,,0,0,0
high,MGV,,0,0,0
high,MGV,,0,1,0
high,MGV,,0,1,0
high,MGV,,0,2,0
high,MGV,,0,2,0
high,MGV,,0,3,1
high,MGV,2025-05-27T06:30:00Z,4,3,1
high,MGV,2025-05-27T07:00:00Z,7,4,1
high,MGV,,0,4,1
high,MGV,2025-05-27T08:00:00Z,12,5,1
high,MGV,2025-05-27T08:30:00Z,38,5,1
high,MGV,,0,6,2
high,MGV,2025-05-27T09:00:00Z,12,6,2
high,MGV,,0,7,2
high,MGV,,0,7,2
high,MGV,,0,8,2
high,MGV,,0,8,2
high,MGV,,0,9,3
high,MGV,,0,9,3
high,MGV,,0,10,3
high,MGV,,0,10,3
high,MGV,,0,11,3
high,MGV,,0,11,3
high,MGV,,0,12,4
high,MGV,,0,12,4
high,MGV,,0,13,4
high,MGV,,0,13,4
high,MGV,,0,14,4
high,MGV,,0,14,4
high,MGV,,0,15,5
high,MGV,,0,15,5
high,MGV,,0,16,5
high,MGV,,0,16,5
high,MGV,,0,17,5
high,MGV,,0,17,5
high,MGV,,0,18,6
high,MGV,,0,18,6
high,MGV,,0,19,6
high,MGV,,0,19,6
high,MGV,2025-05-26T23:00:00Z,40,20,6
high,MGV,2025-05-26T23:30:00Z,51,20,6
high,MGV,2025-05-27T00:00:00Z,39,21,7
high,MGV,2025-05-27T00:30:00Z,1,21,7
high,MGV,2025-05-27T01:00:00Z,1,22,7
high,MGV,,0,22,7
high,MGV,,0,23,7
high,MGV,,0,23,7
